COCO,R,G,B
A01,254,255,255
A02,253,251,255
A03,255,253,240
A04,255,245,237
A05,246,239,226
A06,245,236,210
A07,241,237,237
A08,237,237,237
A09,231,214,219
A10,238,233,234
A11,255,251,225
A12,202,202,212
B01,206,205,213
B02,207,215,211
B03,182,177,186
B04,152,166,168
B05,137,133,140
B06,72,70,78
B07,47,43,47
B08,29,20,20
B09,0,0,0
B10,148,159,163
B11,154,157,148
C01,253,78,106
C02,252,61,70
C03,247,73,65
C04,243,87,68
C05,253,84,61
C06,252,40,60
C07,231,0,47
C08,211,0,34
C09,188,0,40
C10,151,25,55
D01,251,221,153
D02,254,190,125
D03,244,215,56
D04,255,195,101
D05,254,172,76
D06,255,153,91
D07,247,124,49
D08,254,139,76
E01,255,255,213
E02,250,244,200
E03,255,255,159
E04,255,243,101
E05,254,255,139
E06,255,227,110
E07,251,237,86
E08,255,218,69
E09,255,213,104
E10,255,227,149
E11,244,245,125
E12,230,201,183
E13,247,248,162
E14,255,214,125
E15,255,200,48
F01,238,252,165
F02,202,235,123
F03,197,237,156
F04,158,247,128
F05,230,238,49
F06,173,233,70
F07,230,238,73
F08,99,243,71
F09,93,224,53
F10,53,227,82
F11,28,156,79
F12,22,111,65
F13,155,177,58
F14,93,114,42
F15,46,81,50
F16,39,82,58
F17,48,58,33
F18,78,132,109
F19,141,122,53
F20,204,225,175
F21,158,119,185
F22,197,226,84
F23,226,252,177
F24,176,231,146
F25,156,171,90
G01,232,255,231
G02,194,240,204
G03,149,211,194
G04,101,226,166
G05,61,175,128
G06,36,184,140
G07,21,106,107
G08,11,60,67
H01,205,232,255
H02,213,253,255
H03,169,249,252
H04,160,226,251
H05,65,204,255
H06,190,221,255
H07,1,172,235
H08,80,170,240
H09,62,188,226
H10,40,221,222
H11,34,196,198
H12,24,135,162
H13,54,119,210
H14,15,84,192
H15,47,84,175
H16,50,75,202
H17,23,109,175
H18,21,84,168
H19,4,209,246
H20,24,42,132
H21,51,58,149
H22,47,31,144
H23,28,51,77
H24,29,51,68
H25,103,180,190
H26,200,226,255
H27,124,196,255
H28,169,229,229
H29,60,174,216
H30,211,223,250
H31,187,207,237
H32,52,72,142
J01,227,225,238
J02,235,218,252
J03,226,211,255
J04,213,185,248
J05,196,212,246
J06,185,186,225
J07,172,180,242
J08,133,142,221
J09,216,195,215
J10,222,154,212
J11,172,123,222
J12,184,67,197
J13,164,94,199
J14,185,0,149
J15,136,84,179
J16,139,39,155
J17,156,50,178
J18,154,0,155
J19,54,27,81
J20,119,134,229
J21,73,79,199
J22,223,194,248
K01,255,243,235
K02,252,221,210
K03,253,211,204
K04,248,199,201
K05,255,209,186
K06,254,194,166
K07,255,169,173
K08,253,149,123
K09,254,159,114
K10,253,124,114
K11,255,226,234
K12,255,219,233
K13,255,199,219
K14,254,186,213
K15,254,192,223
K16,247,143,195
K17,255,183,231
K18,233,112,204
K19,245,81,162
K20,226,103,122
K21,232,100,158
K22,241,61,116
K23,211,55,147
K24,181,0,109
K25,198,52,120
K26,216,199,209
K27,189,157,161
K28,183,133,161
K29,147,122,141
K30,225,188,232
K31,230,156,121
K32,211,124,70
K33,193,68,74
K34,205,147,145
K35,247,180,198
K36,253,192,208
K37,246,126,102
K38,230,152,170
K39,229,75,79
Y01,188,198,184
Y02,138,163,134
Y03,105,125,128
Y04,227,210,188
Y05,208,204,170
Y06,176,167,130
Y07,180,164,151
Y08,179,130,129
Y09,165,135,103
Y10,197,178,188
Y11,159,117,148
Y12,100,71,73
Y13,209,144,102
Y14,199,115,98
Y15,117,125,123
Z01,255,228,204
Z02,255,226,206
Z03,252,249,224
Z04,242,217,186
Z05,255,196,170
Z06,244,195,165
Z07,224,197,147
Z08,225,179,131
Z09,230,180,131
Z10,237,176,69
Z11,233,156,23
Z12,224,121,53
Z13,255,200,144
Z14,183,113,74
Z15,217,140,57
Z16,123,82,75
Z17,141,97,76
Z18,157,91,62
Z19,169,64,35
Z20,138,69,38
Z21,148,54,48
Z22,117,59,50
Z23,90,33,33
Z24,184,133,88
